icao,name
0ID7,Murphy - Z X Ranch
0ID8,Grangeville - Pinnacle
0ID9,Helmer - Corral Creek
0II0,Albany - Chuck'S
0II1,Bremen - Unsicker
0II2,Bremen - Creighton
0II3,Bunker Hill - Miller Strip
0II5,Chalmers - Marshall
0II6,Goshen - Kropf
0II7,Greenfield - Frost
0II8,Lowell - Sutton'S
0II9,Hall - Winters
0IL0,Mc Leansboro - Hamilton Meml Hospital
0IL1,Maywood - Center
0IL2,Alma - Griffin
0IL3,Urbana - Osf Healthcare
0IL4,Downers Grove - Hospital
0IL5,Kewanee - Center
0IL6,De Kalb - Northwestern
0IL7,Hammond - Davis Rla
0IL8,De Kalb - Walter
0IL9,De Kalb - Jack W Watson
0IN,Elkhart - St
0IN1,Decker - Snider
0IN2,Tocsin - The Lazy K
0IN3,Winamac - Graves Landing Strip
0IN4,Woodburn - Air Park
0IN5,Byrneville - Byrne
0IN9,Mount Vernon - Parrish
0IS0,Rock Island Trinity
0IS2,Glenview - Hospital
0IS3,Deer Grove - Cady Aerial
0IS4,Lovington - Dawson Farms
0IS6,Dongola
0IS8,Quincy - Blessing Hospital
0J0,Abbeville Muni
0J4,Florala Muni
0J8,Archer - Flying Ten
0JY9,Flemingsburg - Fleming County Hospital
0K6,Inola - Dobie
0K7,Humboldt Muni
0KS0,Osage City - J V Ranch
0KS2,Udall - Leverton
0KS3,Arkansas City - South
0KS4,Lawrence - Norris
0KS5,Great Bend - Oasis Aerodrome
0KS6,Hays - Moore Homestead
0KS7,Cheney - Mono Aircraft
0KS8,Parsons - Pearce
0KS9,Douglas - Lmn 120
0KY,Jamestown Marina/Pela
